"","Group","Own_at_least_1_cow","Income_in_2012","Maize_acres","Own_a_Solar_Light","Number_of_Bags_in_Storage_2012","Amount_of_Money_in_Savings_2012","Number_of_Bags_in_Storage_2013","Amount_of_Money_in_Savings_2013"
"Group",0,1,1,1,1,1,1,0.000226461769346352,0.972359530058584
"Own_at_least_1_cow",0.88231637742987,0,4.69730724103501e-16,0.00412187951588857,1.36766765909329e-10,0.00404811999868929,1,0.0079949101928344,1
"Income_in_2012",0.492084609441094,1.46790851282344e-17,0,6.82459322188904e-27,2.75897071595796e-63,8.5631614242867e-08,1,1.96135092256313e-09,1
"Maize_acres",0.924750595705543,0.00017921215286472,2.06805855208759e-28,0,1.77504735887353e-10,0.630969832426603,1,0.0471214902466538,1
"Own_a_Solar_Light",0.784076994920952,4.41183115836546e-12,7.88277347416559e-65,5.91682452957845e-12,0,1.54690350347344e-05,0.829084400891295,4.36225021097348e-05,0.850146823537666
"Number_of_Bags_in_Storage_2012",0.822563389986772,0.000168671666612054,3.05827193724525e-09,0.0315484916213302,5.7292722350868e-07,0,1,2.21039793058401e-54,1
"Amount_of_Money_in_Savings_2012",0.880835271934652,0.430412674041831,0.174637133212099,0.582680893350393,0.0436360210995418,0.0977842508128766,0,1,2.98287197532973e-70
"Number_of_Bags_in_Storage_2013",9.05847077385408e-06,0.0003634050087652,6.76327904332115e-11,0.00224388048793589,1.67778854268211e-06,6.50117038407061e-56,0.215652667433866,0,1
"Amount_of_Money_in_Savings_2013",0.0571976194152108,0.623527438238655,0.189752289622322,0.516862635974846,0.0472303790854259,0.146916865022993,8.28575548702702e-72,0.0916800967416772,0
